Gene	G1_0	G1_1	G2_0	G2_1	G2_2	G2_3	G3_0	G4_0	G4_1	G4_2	G4_3	G4_4	G5_0	G5_1	G5_2	G5_3	G6_0	G6_1	G6_2
FAM134A	2622	2087	5651	1168	1239	3156	1709	2152	2376	10134	1963	2688	3314	2548	2395	1653	2322	2475	2435
FAM134B	1904	766	2673	472	761	1662	267	1875	1902	9187	1630	1623	535	1362	715	2090	270	1167	804
FAM134C	2049	1680	3597	1337	1356	2259	1606	1791	1772	7959	1708	2007	3163	2215	2140	1045	2070	2297	1651
FAM135A	797	318	1500	657	373	668	946	398	764	2199	646	816	1152	418	578	610	1229	455	631
FAM135B	3	0	1	0	0	0	2	1	4	21	2	2	2	3	0	2	0	0	0
FAM136A	1013	927	1932	799	689	1201	1016	1105	1162	4059	948	909	1678	991	1030	623	1247	1029	958
FAM138B	1	1	3	1	0	4	0	6	3	19	2	2	0	3	0	0	0	1	2
FAM138C	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
FAM13A	3239	1859	7524	642	1196	3244	450	2437	3367	11345	3302	3019	1228	1710	1832	3159	1279	1750	2765
FAM13A-AS1	91	67	242	94	81	182	70	193	158	596	145	160	111	85	68	67	71	78	94
FAM13B	1942	1047	3367	781	860	1936	1290	1065	1605	5664	1612	1545	1545	1063	1183	1242	1929	1093	1285
FAM13C	504	212	950	28	171	344	11	384	420	1959	433	410	53	266	137	498	55	256	402
FAM149A	1050	822	2742	365	413	1060	183	4038	1033	5208	944	1040	547	822	745	822	372	884	958
FAM149B1	987	625	1830	320	508	1039	495	887	941	3617	934	950	746	680	599	816	600	738	717
FAM149B1P1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FAM150A	29	28	60	12	8	20	29	10	17	56	16	19	42	12	35	12	51	10	8
FAM150B	1	1	1	0	1	7	0	6	4	22	0	3	0	6	0	0	3	5	1
FAM151A	124	89	200	50	66	205	35	105	111	647	114	177	76	104	73	65	43	79	51
FAM151B	57	40	179	25	34	63	21	80	84	324	64	76	35	46	69	81	47	61	77
FAM153A	224	34	493	57	92	296	30	208	280	1137	283	220	106	133	121	69	84	232	175
FAM153B	150	124	75	78	54	50	4	63	125	484	172	96	50	105	87	51	77	120	137
FAM153C	22	24	47	10	73	102	17	28	49	197	79	43	49	49	17	17	13	64	26
FAM154A	10	15	35	3	3	8	0	8	13	87	30	5	17	8	17	19	7	6	10
FAM154B	9846	4837	25630	2631	2658	9149	430	8043	10235	40474	8755	8713	3561	6404	4843	7403	2505	5202	9108
FAM155A	2	1	1	0	0	12	0	2	4	2	1	2	0	0	0	0	2	2	0
FAM155B	99	51	136	29	30	114	49	49	130	281	80	49	93	81	26	64	149	24	91
FAM156A	2	5	11	3	4	7	16	15	3	21	4	6	20	5	4	9	7	1	11
FAM156B	41	38	99	10	18	77	22	71	51	144	67	62	28	25	24	27	44	19	32
FAM157A	2	4	10	18	1	9	3	1	5	11	6	2	10	2	3	6	10	0	1
FAM157B	0	1	0	5	0	0	1	0	1	1	2	0	1	0	0	0	4	0	4
FAM157C	214	139	514	252	63	329	136	238	424	1156	390	476	171	113	112	250	275	63	375
FAM159A	5	8	9	28	1	4	2	2	9	10	1	2	2	1	7	0	11	4	10
FAM159B	10	13	148	0	80	46	13	19	72	240	25	24	32	79	15	13	14	267	171
FAM160A1	1250	745	2202	469	344	1131	551	654	995	3990	1302	1110	923	594	885	1435	1319	792	670
FAM160A2	1996	1580	5643	1028	876	2925	707	3249	2661	9397	2683	2568	1776	1529	1399	1879	1951	1190	2104
FAM160B1	1001	471	1509	382	390	1008	537	622	889	2967	812	749	733	577	522	643	746	583	619
FAM160B2	1922	1750	3809	1280	1185	2710	1004	3079	1977	8489	1900	2600	2872	1698	1947	1150	1763	1467	1780
FAM161A	1252	624	2783	291	460	1210	107	1012	1322	4597	1111	1094	399	712	615	1257	336	655	837
FAM161B	1103	821	2312	631	587	1233	470	911	1112	4005	942	983	1093	953	834	896	902	989	935
FAM162A	1012	642	1977	617	829	1140	1289	778	964	3996	856	1112	1918	982	987	656	1222	1380	759
FAM162B	0	0	5	0	1	1	1	0	0	8	0	2	7	0	2	0	1	3	0
FAM163A	2	4	5	3	2	2	0	7	3	13	3	5	3	7	3	4	6	9	12
FAM163B	1	0	1	0	0	0	0	0	1	4	0	0	3	0	0	0	0	2	0
FAM165B	624	406	872	213	405	767	267	565	509	2211	445	581	506	575	391	419	233	628	393
FAM166A	49	43	126	26	35	66	7	51	31	174	33	46	43	81	90	46	14	65	44
FAM166B	4730	4076	14969	704	2453	5419	153	7666	6326	24454	4179	5176	1380	5459	3930	4521	842	5061	5417
FAM167A	294	273	698	59	117	342	80	308	316	1220	268	272	289	261	180	337	290	213	282
FAM167B	39	53	131	25	30	73	23	126	51	283	46	73	63	60	68	34	27	41	84
