Gene	G1_0	G1_1	G2_0	G2_1	G2_2	G2_3	G3_0	G4_0	G4_1	G4_2	G4_3	G4_4	G5_0	G5_1	G5_2	G5_3	G6_0	G6_1	G6_2
7SK	180	207	524	156	125	347	48	379	395	1365	479	397	146	174	196	234	106	110	333
7SK,CTC-340D7.1,CTC-498J12.1,RP11-141O11.2	360	85	280	230	71	181	26	118	166	710	137	160	288	77	281	119	69	226	138
A1BG	23	18	114	43	18	41	7	192	64	192	44	65	45	28	39	35	14	21	26
A1CF	0	4	1	2	0	2	0	2	0	1	0	1	0	0	0	1	0	0	1
A2LD1	98	43	162	68	46	73	84	37	58	213	56	64	189	39	90	57	126	66	73
A2M	424	297	1453	795	81	784	1045	1092	790	2646	266	441	1538	334	1086	274	1017	760	471
A2ML1	27	13	162	56	5	24	165	2	8	28	15	29	272	14	37	12	266	3	46
A2ML1-AS1	6	3	8	0	0	0	0	4	1	8	5	9	1	1	11	3	4	2	0
A2MP1	0	1	1	0	0	5	2	0	4	3	1	0	2	3	0	0	3	1	0
A3GALT2P	1	4	3	1	1	1	1	1	5	7	2	0	1	1	1	3	3	0	5
A4GALT	2140	1015	3082	2695	984	1908	2654	887	1599	5016	1157	1740	4804	1990	3435	803	2910	2471	1246
A4GNT	1	0	0	2	4	2	0	9	2	2	1	3	0	0	0	0	0	0	2
AAAS	1074	982	2703	688	636	1617	585	2283	1323	4479	1229	1327	1317	979	1056	804	918	1018	1041
AACP	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AACS	1243	1111	2310	649	496	1457	974	768	920	4212	1041	1314	1731	901	985	614	1841	969	1028
AACSP1	37	11	26	4	9	22	0	123	10	96	15	70	3	37	1	6	0	11	14
AADAC	134	120	445	252	83	126	39	226	108	381	95	158	165	250	184	111	85	108	137
AADACL2	183	80	351	68	70	191	29	91	171	812	136	153	68	249	84	266	42	117	182
AADACL3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0
AADAT	367	269	1302	82	227	578	61	675	683	2467	594	664	144	467	178	455	92	266	425
AAED1	824	399	1824	429	243	654	184	627	909	3140	652	552	439	572	512	711	224	560	809
AAGAB	1543	1190	3197	1138	783	1447	1302	1316	1687	6026	1315	1354	1934	1176	1404	1069	1950	1416	1345
AAK1,AC114772.1	868	600	1425	750	481	908	657	763	868	3462	671	872	1203	718	834	540	1003	692	704
AAMP	2727	2163	5424	1520	1177	2840	2281	2044	2604	9167	2146	2391	3357	2226	2590	1736	2626	2448	2269
AANAT	4	2	3	11	3	0	1	2	1	3	0	0	8	1	5	0	8	1	5
AARD	0	0	0	0	0	0	2	0	0	2	0	0	1	0	1	0	0	1	0
AARS,EXOSC6	4159	2801	6811	1473	1556	3938	2002	3109	3831	14292	2849	3595	2869	2746	2460	2765	3082	3317	3011
AARS2,TCTE1	3257	2648	7621	988	1186	3499	437	3948	3268	13619	2685	3577	1955	2574	2403	2445	1370	2328	2875
AARSD1	637	538	1403	379	424	749	326	691	654	2691	610	661	750	623	587	406	557	650	565
AASDH	597	350	1012	202	308	663	254	382	567	1827	514	568	378	444	343	565	356	410	419
AASDHPPT	1522	797	2574	544	657	1476	646	916	1509	4872	1273	1286	941	907	835	1254	905	963	938
AASS	790	672	2093	291	487	1437	325	931	1657	4527	1590	1274	586	858	516	951	1064	475	906
AATF	1025	639	2182	672	443	1046	624	748	965	3663	771	820	895	867	782	739	831	1024	810
AATK	11	30	52	107	11	18	12	27	71	120	30	14	68	15	42	9	92	9	17
AATK-AS1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
AB015752.3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AB015752.4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AB019438.63	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AB019441.29	0	0	1	0	1	1	0	0	0	2	0	0	0	1	3	0	0	2	0
ABAT	1795	941	3224	811	346	1132	470	1055	1143	6505	1104	1279	979	1357	793	1152	777	858	1265
ABC11-48400900C8.1	0	0	2	0	1	1	0	0	1	4	1	1	2	1	1	1	1	1	1
ABC12-49244600F4.3	131	73	177	84	43	250	54	162	214	578	265	202	145	90	88	112	138	98	133
ABC7-42389800N19.1	739	721	800	450	394	1098	291	1007	1235	2044	634	765	1297	799	710	366	454	267	515
ABCA1	300	145	444	1066	119	513	541	748	736	798	244	381	670	249	417	308	1488	272	275
ABCA10,ABCA5	3767	2061	9396	1153	1261	4498	1459	3762	5376	18254	4051	4130	2283	2196	2542	4179	2549	3044	4151
ABCA12	114	23	314	291	19	43	235	58	91	237	57	85	435	40	113	42	325	57	567
ABCA13	17464	9041	58086	4269	5835	21472	1527	14534	31990	87541	25707	21024	6277	12164	7119	27611	23409	9553	24217
ABCA17P	6	4	21	8	8	6	2	18	10	38	6	13	9	7	4	7	2	5	3
ABCA2	1643	1249	4186	577	577	2122	384	2029	1778	7479	1590	1791	1639	1239	1476	1342	830	1563	1478
ABCA3	346	357	855	143	159	471	164	360	552	1645	371	408	316	303	324	164	202	324	216
ABCA4	385	312	838	148	143	506	66	270	736	1809	293	428	382	330	299	241	180	356	350
ABCA6	33	12	138	12	10	88	10	66	78	221	56	41	18	23	22	88	42	26	39
ABCA7	2268	1429	3817	1438	1447	3321	939	3562	2857	2820	2448	2924	1511	2193	2457	1605	3476	1375	2561
ABCA8	2	2	38	0	2	4	11	0	5	30	3	2	30	0	4	0	3	20	3
ABCA9	137	90	698	43	47	368	25	368	424	1473	300	271	94	127	135	310	136	146	199
ABCB1	57	53	36	49	4	72	95	6	64	104	35	28	68	18	82	7	39	67	28
ABCB10	1170	693	2711	377	477	1145	443	897	1241	5229	1074	1047	641	937	673	1039	720	790	963
ABCB11	555	230	1130	196	150	330	116	140	540	1813	323	422	458	292	477	423	202	367	585
ABCB4	29	7	13	11	8	9	8	13	18	53	18	11	12	9	6	10	25	10	9
ABCB5	0	0	0	3	0	1	0	37	0	1	0	0	3	1	1	3	0	0	1
ABCB6,ATG9A	2047	1703	3994	1461	1009	2375	2097	1891	1776	7218	1640	2328	3906	1855	2692	1139	2907	1809	1705
ABCB7	586	348	1218	284	314	625	347	453	616	2231	603	549	495	440	411	493	485	557	516
ABCB8	907	852	2073	581	485	1132	552	1224	1055	3710	850	1131	1060	824	726	634	930	530	769
ABCB9	97	75	168	34	56	125	60	84	84	343	102	126	102	72	83	63	125	74	71
ABCC1	2851	1399	4003	1908	994	2786	1981	1671	2117	7442	2086	2456	3797	1829	2597	1438	2837	2740	1857
ABCC10	1090	723	1980	503	631	1743	558	1432	1025	4015	1136	1492	1230	1044	840	763	1011	818	849
ABCC11	7	8	33	1	5	13	2	4	14	35	9	13	6	2	9	7	4	12	10
ABCC12	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABCC13	0	0	0	2	0	12	3	11	2	59	40	1	19	14	0	16	9	1	0
ABCC2	69	107	484	19	68	127	11	107	187	504	124	132	94	106	144	163	60	141	155
ABCC3	645	242	814	573	626	810	921	1521	1163	1739	578	895	1620	720	950	415	317	689	390
ABCC4	2414	1277	1047	265	687	1777	318	772	1443	3884	1265	838	579	951	620	835	553	904	774
ABCC5	6035	3064	14020	2506	3362	8671	1605	10872	7804	30421	8210	9858	5802	5387	4375	6052	2220	4196	4535
ABCC5-AS1	18	35	70	6	9	23	1	22	45	158	28	28	5	15	19	20	3	21	53
ABCC6	939	832	2143	314	522	1407	150	3133	1867	3876	768	939	386	712	1416	638	380	792	1030
ABCC6P1	117	202	232	36	45	229	16	207	163	366	167	173	23	85	220	119	33	132	113
ABCC6P2	242	105	412	26	50	301	8	168	266	1090	117	257	27	101	191	172	21	158	252
ABCC8	2	0	0	0	0	3	0	1	1	3	2	5	0	0	0	0	0	1	1
ABCC9	881	338	1202	271	534	1507	262	632	1137	2999	1522	1013	463	540	385	779	591	492	537
ABCD1	168	156	280	346	52	204	122	438	179	527	119	191	273	116	154	113	257	140	151
ABCD1P2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABCD2	521	227	1010	64	147	399	43	267	559	2244	458	367	103	293	213	561	70	246	192
ABCD3	4565	2773	7767	1473	1652	4462	2417	2598	5560	14601	4383	3586	3533	2671	2891	3701	4233	3238	3652
ABCD4	982	844	2638	560	615	1420	538	1545	1143	4171	1133	1238	1230	982	908	765	817	1006	1053
ABCE1	1740	974	2572	1093	828	1634	1287	1015	1684	5160	1606	1385	1524	1020	933	1229	1447	1234	1151
ABCF1	1643	1063	2810	1317	719	1725	1392	1191	1503	5247	1319	1442	1986	1327	1318	1111	1923	1181	1224
ABCF2	1143	859	2241	737	559	1214	776	902	1204	3841	977	1210	1071	987	910	771	1042	946	927
ABCF3	1706	1302	3201	818	830	1982	1107	1567	1736	6148	1434	1637	1830	1366	1341	1051	1663	1440	1312
ABCG1	1329	890	1718	1173	377	1132	680	3302	1883	4459	470	1269	1957	779	1262	1081	1590	769	620
ABCG2	19	7	30	128	20	52	12	139	10	36	30	80	113	39	85	22	3	95	18
ABCG4	1	0	0	0	1	1	0	11	1	7	3	0	0	1	1	0	0	1	4
ABCG5	18	19	44	3	19	25	4	18	28	82	45	21	12	12	17	12	10	13	19
ABCG8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	5	1	4	11	3	10	2	17	5	23	6	5	4	11	2	3	2	1	4
ABHD10	1368	1025	2794	558	819	1347	561	1161	1448	6215	1283	1280	1292	1130	1010	1088	907	1133	1029
ABHD11	2193	1624	4890	1453	934	2077	1098	3267	2044	9385	1444	2205	2756	2033	1990	1548	2017	1514	1806
ABHD11-AS1	277	140	422	104	223	243	60	234	290	1423	275	281	443	204	354	251	94	343	315
ABHD11-AS2	318	218	583	224	121	216	146	420	246	1134	142	230	402	318	324	155	261	266	228
ABHD12	1125	944	2584	1251	544	1357	845	1633	485	4173	791	997	1702	966	1185	828	1218	819	970
ABHD12B	1657	715	2431	490	377	1583	63	1458	1547	6370	510	1062	270	1062	714	1042	432	1159	1446
ABHD13	912	486	1410	452	356	827	489	462	937	3223	837	656	729	457	474	718	842	627	562
ABHD14A,ABHD14A-ACY1,ACY1	1273	1039	2499	574	748	1591	625	1171	1087	4694	1052	1274	1230	1389	1113	843	920	1432	1052
ABHD14B,PCBP4	2257	2024	4644	1080	1701	2959	1271	2534	2289	10136	2149	2271	3381	2630	2651	1300	1525	2815	2005
ABHD15	671	619	1335	310	297	750	408	582	726	2444	550	668	787	540	626	444	573	678	593
ABHD16A,LY6G6E	1527	1333	3388	1160	651	1772	1117	1265	1688	5831	1227	1400	1992	1217	1576	1184	1832	1382	1352
ABHD16B	569	410	1242	205	192	680	116	640	589	2195	368	598	470	513	441	441	304	367	552
ABHD2	15969	6733	25885	6988	2341	8009	13047	5825	14034	47794	8979	10701	18313	6580	9914	11716	12599	7283	11571
ABHD3	1041	590	2042	627	381	1008	643	805	1043	3971	854	1074	905	722	756	951	1168	843	835
ABHD4	948	518	1153	521	364	923	670	779	776	2895	684	830	1298	591	799	463	784	651	618
ABHD5	847	587	1642	805	338	754	1060	697	926	2736	726	691	1316	613	707	595	1375	586	777
ABHD6	935	720	2461	429	332	1017	308	723	1132	3544	778	803	616	776	882	973	672	919	735
ABHD8	385	299	619	148	176	357	149	349	294	1138	199	361	419	323	303	214	301	319	280
ABI1	3682	2070	7096	1895	1699	3466	2194	2649	3230	13221	2863	3093	3357	2419	2399	3033	2637	3011	2927
ABI2	3010	1934	6644	950	1343	3063	831	2497	3177	13372	2866	2733	1575	2310	1794	2811	1259	2222	2339
ABI3	122	89	123	396	43	169	157	157	147	277	89	60	269	77	263	36	246	116	96
ABI3BP	78	27	112	12	32	191	15	142	91	194	86	160	46	45	26	57	16	44	33
ABL1	1806	1208	3118	629	526	1964	911	994	1615	5347	1313	1545	1559	1153	1100	1096	2118	1067	1508
ABL2	665	377	1182	949	257	622	235	577	692	1908	626	600	495	497	578	542	467	475	540
ABLIM1	9452	4744	11071	4167	2641	7800	10607	6124	9246	31210	6017	6596	14140	4372	6597	5456	10041	6294	5542
ABLIM2	72	104	153	74	33	106	52	81	61	343	105	83	195	51	88	23	121	74	68
ABLIM3	96	59	681	23	14	55	199	239	38	102	149	413	689	127	247	8	29	233	129
ABO	2708	1743	4681	1886	1174	2210	1627	2817	2768	9794	2769	2899	5960	2207	3399	1299	4035	2424	2080
ABP1	50	40	208	42	1	19	69	4	62	46	22	25	138	14	73	12	136	8	33
ABR	4001	2855	6327	2614	1617	4376	2213	3703	3470	13747	3675	3960	4789	2973	3088	2442	4544	2639	3022
ABRA	0	0	6	4	0	0	0	0	2	1	0	2	1	2	3	0	1	1	1
ABRACL	501	346	780	861	279	379	900	378	435	1455	326	334	983	307	705	237	1399	444	352
ABT1	770	579	1414	450	401	801	487	488	719	2480	641	641	864	654	659	433	713	702	606
ABT1P1	0	0	0	0	0	0	0	1	1	2	1	0	0	0	1	1	0	1	1
ABTB1	661	654	1713	431	545	917	222	1481	734	4013	614	838	834	743	872	537	656	790	951
ABTB2	134	108	251	132	73	168	56	214	197	557	144	162	138	130	90	74	67	98	90
AC000032.2	7	9	26	32	6	64	1	71	11	50	14	18	55	43	40	6	0	8	38
AC000036.4	0	1	0	0	0	0	0	0	2	5	1	7	1	0	0	0	1	0	1
AC000059.1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2
AC000068.5	106	75	228	21	28	104	22	63	108	428	93	91	58	69	52	25	59	56	65
AC000078.5	44	17	106	14	20	62	17	31	55	253	45	62	34	14	23	162	39	10	51
AC000089.3	69	73	222	36	31	178	38	156	171	628	236	217	96	38	55	58	84	25	93
AC000094.3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AC000095.8	1	0	4	0	0	3	0	0	2	3	8	4	3	2	0	3	1	0	1
AC000111.4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
AC000111.6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0
AC000123.4	21	11	26	24	4	24	17	13	17	53	13	17	13	7	18	12	11	12	10
AC000124.1	3	1	0	0	2	1	0	1	0	7	1	1	0	0	1	0	0	0	2
AC002055.4	448	337	847	239	222	449	187	344	417	1319	291	413	407	391	277	326	242	541	440
AC002056.3	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0
AC002056.5	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0
AC002064.4	1	0	4	0	0	4	0	1	1	1	2	2	1	3	0	6	0	1	3
AC002064.5	52	25	362	13	29	91	3	83	172	233	164	70	37	68	72	51	20	33	106
AC002066.1,AC073130.3	6	1	5	0	2	2	1	1	3	6	1	3	4	2	2	1	4	0	3
AC002069.5	1	0	2	0	0	0	1	0	1	3	4	3	1	1	0	1	0	1	0
AC002075.4	0	1	0	0	1	0	1	1	0	2	0	0	0	0	1	1	1	1	1
AC002076.10	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	0	0
AC002076.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AC002117.1	62	44	90	29	45	64	34	65	79	245	63	71	59	52	52	37	30	35	37
AC002127.4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002128.4	1	1	3	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0
AC002303.5	5	13	29	58	6	30	12	12	14	26	9	11	29	11	17	8	25	17	10
AC002306.1	0	3	1	6	3	2	1	2	1	11	5	4	3	5	0	0	0	0	1
AC002310.10	0	0	0	0	0	1	0	0	1	1	2	0	0	0	1	0	0	0	2
AC002310.12	57	49	111	30	53	97	26	78	61	251	60	65	81	62	72	36	31	65	72
AC002310.13,ZNF747,ZNF764,ZNF768	2342	1782	5053	904	1051	2661	1019	2206	2118	8107	1707	2385	2128	2134	1655	1314	1527	1747	1875
AC002310.17	0	0	2	5	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
AC002310.7	3	4	6	1	2	1	0	4	1	8	1	1	5	3	2	0	1	2	2
AC002314.2	1	0	2	0	0	1	0	3	1	2	2	0	2	0	0	0	0	0	0
AC002331.1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	2	2	0
AC002347.2	187	96	301	173	27	74	342	17	54	353	75	87	571	39	321	53	450	152	168
AC002365.1	1	0	0	4	0	1	0	2	1	4	1	1	1	2	0	2	0	2	1
AC002366.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC002398.5	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
AC002400.1	2	1	11	0	0	2	0	4	4	13	5	2	1	1	3	1	3	0	0
AC002401.1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC002429.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC002451.3	55	40	268	12	20	76	1	153	164	628	81	126	17	150	37	191	15	42	167
AC002454.1	4	0	1	1	3	5	1	0	4	6	3	5	7	8	2	2	3	3	0
AC002456.2	0	9	5	2	4	12	0	7	3	22	7	6	2	4	0	4	1	8	1
AC002463.3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AC002472.11	0	0	3	0	0	2	0	2	4	5	0	0	0	3	0	0	1	2	0
AC002472.13	1972	2317	7809	1447	1302	3670	71	7944	6914	13244	3103	3609	1368	2831	2484	2797	514	2350	3652
AC002472.14	2	1	7	1	0	2	0	8	4	9	5	1	1	3	0	1	0	1	5
AC002472.8	859	634	2700	432	405	1375	59	1938	2554	5817	1150	1536	457	813	760	766	329	629	1214
AC002480.3	1	4	1	10	2	0	1	0	1	2	2	1	3	0	0	0	1	0	1
AC002480.4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AC002480.5	2	5	3	3	0	6	0	1	1	5	2	3	6	0	0	1	2	8	1
AC002511.2	0	1	4	9	0	0	0	1	0	7	0	0	1	2	3	0	6	0	0
AC002511.3	1	0	0	3	0	1	0	0	0	0	1	1	0	0	0	0	3	1	0
AC002511.4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2
AC002519.5	5	1	7	0	2	11	3	5	6	27	8	8	4	5	1	0	3	1	6
AC002519.6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
AC002539.1	0	0	2	0	0	2	0	0	2	6	1	2	0	0	0	1	0	0	0
AC002543.2	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	3	0	2
AC002551.1	0	0	2	1	0	0	0	2	0	1	0	0	1	0	0	0	0	1	1
AC002992.4,ARSDP1,ARSEP1,FAM8A4P	1801	752	5563	2	6	0	7	4	2	11491	0	3829	1	1413	1	1907	245	1238	2672
AC003003.5	3	7	23	5	1	8	2	10	10	56	22	16	2	9	5	9	1	6	10
AC003029.1,MAPKAPK5-AS1	346	249	640	274	279	465	301	393	343	1333	318	333	558	369	345	184	365	389	300
AC003029.4	18	18	30	12	10	29	6	24	25	128	33	27	8	21	13	17	3	15	15
AC003043.2	652	762	1239	934	426	717	746	974	622	2557	459	684	1724	756	960	357	1029	820	617
AC003051.1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AC003075.4	26	22	35	8	15	121	9	23	47	109	15	22	34	28	10	18	8	30	33
AC003077.1	0	0	2	5	0	1	0	1	0	9	2	0	0	0	0	1	0	0	3
AC003079.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC003080.4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC003084.2	0	2	0	0	0	1	0	1	3	1	1	1	0	1	0	0	0	0	0
AC003088.1	0	0	2	1	0	0	0	1	0	2	1	1	0	0	2	3	2	0	0
AC003090.1	1	1	2	0	8	25	0	23	3	16	10	54	0	21	0	20	0	0	1
AC003092.1	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1
AC003102.1,SLC4A1	1	4	0	0	14	3	1	0	1	6	0	2	1	0	9	8	25	2	5
AC003102.3	0	0	2	0	0	3	0	0	1	3	0	1	1	0	0	0	1	0	0
AC003104.1	1	2	0	1	2	0	0	0	0	3	0	0	0	1	2	1	0	0	0
AC003664.1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003665.1	17	10	33	21	26	23	11	16	17	56	28	22	18	10	6	9	7	26	9
AC003682.1	714	317	989	191	224	733	225	499	626	1869	622	686	311	306	221	425	293	284	366
AC003958.1	2	1	2	0	1	2	0	0	4	1	0	1	0	1	1	1	0	1	2
AC003958.2	8	4	13	0	7	8	0	6	8	31	6	7	3	13	3	5	1	1	7
AC003984.1	1	0	1	0	0	2	0	2	0	2	0	3	0	0	0	1	0	0	0
AC003985.1	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	3
AC003986.5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC003986.6	2	4	18	0	2	3	4	1	0	5	1	2	1	0	4	3	12	1	1
AC003986.7	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
AC003989.4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC003991.3	1	1	2	0	0	2	0	0	2	4	1	1	1	0	0	1	0	0	0
AC004016.2	2	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0
AC004017.1,ZNF154	1395	278	631	134	334	1436	189	1196	1087	3483	1273	1077	216	524	163	666	246	143	275
AC004019.13	0	0	1	4	0	0	1	0	0	4	0	0	2	0	3	1	2	0	0
AC004022.7	0	1	2	0	0	1	0	3	1	3	0	0	0	0	0	1	0	0	0
AC004022.8	0	0	1	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0
AC004041.2	6	2	10	0	3	6	10	10	14	18	3	4	4	6	6	6	14	7	13
AC004049.2	0	0	3	2	0	0	0	5	4	11	5	2	3	2	5	3	4	2	0
AC004051.2	1	0	3	0	0	1	0	1	3	10	2	2	1	1	1	3	1	1	1
AC004053.1	12	4	11	0	1	11	0	18	14	19	1	9	1	9	2	11	1	1	2
AC004057.1	24	9	48	14	18	43	4	11	19	24	27	26	38	6	48	21	30	16	11
AC004066.2	0	0	0	0	0	1	0	4	1	9	2	0	3	0	0	3	0	0	4
AC004069.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AC004069.2	38	38	92	42	30	68	10	59	39	205	40	44	46	51	41	28	19	34	73
AC004074.3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004112.4	2	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0
AC004112.5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AC004112.7	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AC004148.1,RPAIN	1047	785	2589	562	734	1427	748	1562	1442	5129	1395	1375	1465	1017	1002	946	1486	1037	1125
AC004158.2	4	2	21	5	2	12	4	3	16	49	21	10	4	7	4	13	8	8	9
AC004158.3	4	4	9	8	0	6	3	2	14	19	8	10	5	6	1	14	5	1	7
AC004159.1	1	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
AC004160.4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004166.6	12	8	13	4	7	9	12	6	13	27	7	18	10	7	2	2	12	8	17
AC004166.7	186	251	714	117	160	551	131	439	418	1527	467	501	401	240	205	205	303	135	265
AC004231.2	58	32	134	55	13	62	4	35	60	181	39	21	20	22	40	51	17	27	25
AC004237.1	0	0	1	0	2	3	0	2	1	1	0	0	1	0	0	0	0	0	0
AC004240.2	1	1	0	0	0	2	0	1	2	7	2	0	3	1	0	1	2	2	2
AC004258.1,C19orf24	525	670	985	591	402	694	440	906	605	2211	417	690	1137	740	848	321	643	642	594
AC004381.6	397	231	938	243	100	260	82	232	433	1303	193	263	272	228	378	245	400	405	452
AC004383.3	0	0	2	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0
AC004383.4,MIR424	0	1	1	9	0	0	1	0	3	2	0	3	3	1	1	3	9	0	0
AC004386.4	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0
AC004448.2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AC004449.6	64	96	290	46	79	128	16	193	97	517	73	148	68	126	123	47	25	98	107
AC004453.8	1	0	0	0	0	2	0	0	1	3	0	1	0	0	2	0	1	2	0
AC004460.1,RP5-1086D14.1	0	0	0	1	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0
AC004461.4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1
AC004463.6	26	18	88	23	42	64	26	89	46	185	41	54	41	34	22	16	24	30	30
AC004471.9,TSSK1A	17	6	40	10	11	7	7	15	8	42	9	15	16	7	14	6	6	17	7
AC004485.3	0	0	2	0	0	0	0	10	1	6	1	2	0	1	0	1	0	0	4
AC004492.1	1	1	1	2	1	2	0	13	2	3	0	0	1	1	0	0	2	0	3
AC004510.2	4	2	19	0	2	9	0	5	2	20	0	2	1	9	4	3	1	6	5
AC004538.3	0	0	2	0	0	1	0	0	0	1	3	2	1	0	0	0	0	0	0
AC004540.4	2	0	3	0	0	2	1	3	0	3	1	1	1	0	0	2	0	0	1
AC004540.5	15	5	10	8	21	40	2	42	14	89	23	17	5	14	3	10	1	0	13
AC004549.6	1	0	7	0	0	3	1	1	0	5	3	2	2	1	1	1	0	1	1
AC004562.1	0	0	0	0	2	2	0	0	0	1	0	2	0	0	0	0	0	0	0
AC004593.2	3	0	2	0	0	0	0	3	0	8	2	2	0	3	0	0	1	0	0
AC004593.3	0	0	0	0	1	0	0	0	0	1	2	1	1	0	0	0	0	3	0
AC004603.4	0	1	13	0	0	0	0	1	1	0	0	0	6	0	1	0	0	0	0
AC004696.1	233	154	105	165	190	517	127	261	306	763	344	254	385	251	183	247	96	163	139
AC004696.1,ZNF471	62	38	116	19	59	90	8	159	93	354	156	150	35	49	72	71	10	31	59
AC004741.3	1	0	2	0	0	4	0	3	2	4	0	5	2	2	0	0	0	0	1
AC004771.1,RP5-1050D4.4	7	3	5	0	1	4	0	9	6	12	4	7	0	2	5	3	1	3	7
AC004797.1	11	5	18	2	4	9	7	2	7	34	5	7	12	5	8	5	10	5	7
AC004832.1	0	0	0	0	1	0	2	0	1	3	1	2	0	1	0	2	2	1	1
AC004837.4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC004837.5	7	0	9	3	3	11	8	10	6	29	9	11	0	2	2	1	5	1	3
AC004854.4	0	0	0	0	0	0	0	3	0	7	0	1	0	1	1	1	0	1	0
AC004854.5	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0
AC004863.6	397	495	414	181	213	694	15	682	981	3674	767	1377	332	245	262	779	299	89	655
AC004870.3,MRPL42P4	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0
AC004870.4	23	40	84	19	25	102	37	24	25	51	47	24	65	12	22	12	37	20	59
AC004870.5	13	3	12	7	2	30	2	4	2	9	6	8	0	1	1	0	4	0	3
AC004878.2	0	0	1	2	0	2	0	4	2	2	2	3	0	2	0	3	0	0	1
AC004878.3,PMS2P2	3	7	16	3	6	5	3	3	4	16	11	4	11	6	7	6	9	3	6
AC004878.6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AC004878.7	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0
