Object	DM1	DM10	DM11	DM12	DM13	DM14	DM15	DM16	DM17	DM2	DM3	DM4	DM5	DM6	DM7	DM8	DM9	SN1	SN10	SN2	SN3	SN4	SN5	SN6	SN7	SN8	SN9							
IPI:IPI00549440	2418	2166	2238	2838	1848	2370	1667	1988	2702	2593	1820	1837	1614	2120	1662	2257	2058	2568	3752	2715	2500	2848	2351	3289	2911	3336	2895							
IPI:IPI00549304	2214	2107	2287	2685	1778	2307	1566	2030	2356	2485	1722	1808	1540	2079	1683	2214	2047	2439	3411	2524	2359	2707	2082	3033	2674	3096	2603							
IPI:IPI00550718	2014	2011	2275	2747	1723	2327	1479	1842	2373	2314	1559	1685	1415	1946	1538	2051	1988	2200	2925	2387	2182	2532	2052	2622	2211	2717	2411							
IPI:IPI00549747	3185	1439	1428	2221	1304	1424	1707	1717	2057	1905	1247	1268	1276	1466	905	1839	1728	2429	2924	2374	2513	2468	1665	2860	2688	2818	2594							
IPI:IPI00430808	3186	1440	1429	2221	1306	1424	1707	1717	2057	1907	1247	1269	1276	1467	906	1839	1730	2427	2919	2370	2511	2463	1667	2860	2687	2819	2595							
IPI:IPI00448985	3185	1439	1428	2221	1304	1423	1707	1716	2056	1905	1247	1268	1275	1466	904	1838	1728	2425	2919	2368	2509	2464	1665	2858	2685	2817	2593							
IPI:IPI00430847	3138	1328	1350	2128	1238	1352	1573	1620	1953	1824	1177	1175	1197	1396	868	1775	1678	2332	2822	2203	2412	2366	1627	2679	2477	2668	2484							
IPI:IPI00419424	3140	1332	1349	2117	1241	1351	1578	1612	1967	1829	1178	1179	1202	1394	866	1779	1682	2336	2811	2205	2402	2349	1635	2664	2471	2657	2471							
IPI:IPI00441043	3132	1335	1348	2115	1238	1351	1572	1615	1942	1821	1177	1177	1202	1393	864	1776	1678	2320	2811	2195	2398	2332	1625	2665	2462	2650	2467							
IPI:IPI00473097	3129	1329	1345	2118	1236	1348	1570	1610	1944	1821	1173	1174	1197	1393	863	1774	1678	2320	2802	2193	2395	2328	1622	2660	2460	2648	2467							
IPI:IPI00385058	3129	1328	1345	2114	1235	1346	1570	1610	1943	1820	1173	1174	1197	1391	863	1774	1678	2321	2805	2190	2393	2329	1622	2661	2466	2650	2464							
